"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BH,4,c,"4",0,0.00,1.105,5.53,955,p,,1302
BH,4,c,"4/0",0,0.00,1.970,9.85,3641,p,,1302
BH,4,c,"50",0,0.00,33.600,168.00,2448,p,,1301
BH,4,c,"6",0,0.00,17.100,86.00,471,p,,1301
BH,4,c,"6",0,0.00,0.985,4.93,702,p,,1302
BH,4,c,"70",0,0.00,38.700,193.00,3427,p,,1301
BH,4,c,"8",0,0.00,0.770,3.85,445,p,,1302
BH,4,c,"95",0,0.00,43.100,216.00,4234,p,,1301
BH,5,c,"1",0,0.00,1.525,7.63,2019,p,,1302
BH,5,c,"1.5",0,0.00,14.300,71.00,270,p,,1301
BH,5,c,"10",0,0.00,21.600,108.00,813,p,,1301
BH,5,c,"10",0,0.00,0.755,3.78,397,p,,1302
BH,5,c,"12",0,0.00,0.685,3.43,306,p,,1302
BH,5,c,"14",0,0.00,0.635,3.18,248,p,,1302
BH,5,c,"16",0,0.00,24.500,122.00,1135,p,,1301
BH,5,c,"16",0,0.00,0.595,2.98,205,p,,1302
BH,5,c,"2",0,0.00,1.375,6.88,1636,p,,1302
BH,5,c,"2.5",0,0.00,15.600,78.00,342,p,,1301
BH,5,c,"25",0,0.00,29.400,147.00,1677,p,,1301
BH,5,c,"35",0,0.00,32.600,163.00,2204,p,,1301
BH,5,c,"4",0,0.00,17.200,86.00,442,p,,1301
BH,5,c,"4",0,0.00,1.215,6.08,1157,p,,1302
BH,5,c,"50",0,0.00,37.300,187.00,3010,p,,1301
BH,5,c,"6",0,0.00,18.800,94.00,560,p,,1301
BH,5,c,"6",0,0.00,1.080,5.40,844,p,,1302
BH,5,c,"8",0,0.00,0.885,4.43,570,p,,1302
BH,7,c,"1.5",0,0.00,15.400,77.00,287,p,,1301
BH,7,c,"14",0,0.00,0.685,3.43,292,p,,1302
BH,7,c,"16",0,0.00,0.640,3.20,238,p,,1302
BH,7,c,"2.5",0,0.00,17.000,85.00,379,p,,1301
BH,10,c,"1.5",0,0.00,19.100,95.00,396,p,,1301
