"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
EA,3,c,"50",3,25.00,48.400,290.40,3603,a,,1301
EA,3,c,"6",1,6.00,25.100,150.60,1419,p,,1301
EA,3,c,"70",3,10.00,42.700,256.40,4437,p,,1301
EA,3,c,"70",3,25.00,53.500,320.80,4257,a,,1301
EG,1,p,"0.5",0,0.00,8.900,35.00,112,p,,1301
EG,1,p,"0.75",0,0.00,9.200,37.00,122,p,,1301
EG,1,p,"1",0,0.00,9.600,38.00,139,p,,1301
EG,1,p,"1.5",0,0.00,10.300,41.00,162,p,,1301
EG,1,p,"14",0,0.00,0.450,1.80,131,p,,1302
EG,1,p,"16",0,0.00,0.420,1.68,107,p,,1302
EG,1,p,"18",0,0.00,0.395,1.58,93,p,,1302
EG,1,p,"2.5",0,0.00,11.200,45.00,201,p,,1301
EG,1,t,"0.75",0,0.00,9.600,38.00,131,p,,1301
EG,1,t,"1.5",0,0.00,10.700,43.00,167,p,,1301
EG,1,t,"14",0,0.00,0.470,1.88,154,p,,1302
EG,1,t,"16",0,0.00,0.440,1.76,124,p,,1302
EG,1,t,"18",0,0.00,0.415,1.66,106,p,,1302
EG,2,p,"0.5",0,0.00,12.800,51.00,214,p,,1301
EG,2,p,"0.75",0,0.00,13.300,53.00,244,p,,1301
EG,2,p,"1",0,0.00,13.900,55.00,285,p,,1301
EG,2,p,"1.5",0,0.00,15.300,61.00,357,p,,1301
EG,2,p,"14",0,0.00,0.695,2.78,293,p,,1302
EG,2,p,"16",0,0.00,0.640,2.56,235,p,,1302
EG,2,p,"18",0,0.00,0.605,2.42,202,p,,1302
EG,2,p,"2.5",0,0.00,17.000,68.00,469,p,,1301
EG,3,t,"0.75",0,0.00,14.700,59.00,271,p,,1301
EG,3,t,"1.5",0,0.00,16.900,68.00,379,p,,1301
EG,3,t,"14",0,0.00,0.820,3.28,428,p,,1302
EG,3,t,"16",0,0.00,0.755,3.02,333,p,,1302
EG,3,t,"18",0,0.00,0.705,2.82,278,p,,1302
EG,4,p,"0.5",0,0.00,14.900,60.00,235,p,,1301
EG,4,p,"0.75",0,0.00,15.600,62.00,262,p,,1301
EG,4,p,"1",0,0.00,16.300,65.00,314,p,,1301
EG,4,p,"1.5",0,0.00,18.100,72.00,383,p,,1301
EG,4,p,"14",0,0.00,0.835,3.34,406,p,,1302
EG,4,p,"16",0,0.00,0.765,3.06,315,p,,1302
EG,4,p,"18",0,0.00,0.715,2.86,264,p,,1302
EG,4,p,"2.5",0,0.00,20.100,80.00,503,p,,1301
EG,4,t,"0.75",0,0.00,15.900,64.00,327,p,,1301
EG,4,t,"1.5",0,0.00,18.500,74.00,464,p,,1301
EG,4,t,"14",0,0.00,0.940,3.76,536,p,,1302
EG,4,t,"16",0,0.00,0.815,3.26,382,p,,1302
EG,4,t,"18",0,0.00,0.765,3.06,314,p,,1302
EG,7,t,"0.75",0,0.00,19.100,76.00,497,p,,1301
EG,7,t,"1.5",0,0.00,22.100,89.00,719,p,,1301
EG,7,t,"14",0,0.00,1.110,4.44,790,p,,1302
EG,7,t,"16",0,0.00,1.015,4.06,598,p,,1302
EG,7,t,"18",0,0.00,0.945,3.78,488,p,,1302
EG,8,p,"0.5",0,0.00,18.500,74.00,370,p,,1301
EG,8,p,"0.75",0,0.00,19.700,79.00,428,p,,1301
EG,8,p,"1",0,0.00,20.600,82.00,527,p,,1301
EG,8,p,"1.5",0,0.00,23.000,92.00,651,p,,1301
EG,8,p,"14",0,0.00,1.060,4.24,693,p,,1302
EG,8,p,"16",0,0.00,0.970,3.88,527,p,,1302
EG,8,p,"18",0,0.00,0.910,3.64,434,p,,1302
EG,8,p,"2.5",0,0.00,25.700,103.00,870,p,,1301
EG,10,p,"0.5",0,0.00,20.100,80.00,440,p,,1301
EG,10,p,"0.75",0,0.00,21.200,85.00,501,p,,1301
EG,10,p,"1",0,0.00,22.100,89.00,623,p,,1301
EG,10,p,"1.5",0,0.00,24.700,99.00,771,p,,1301
EG,10,p,"14",0,0.00,1.230,4.92,885,p,,1302
EG,10,p,"16",0,0.00,1.120,4.48,672,p,,1302
EG,10,p,"18",0,0.00,1.045,4.18,551,p,,1302
EG,10,p,"2.5",0,0.00,27.700,111.00,1038,p,,1301
EG,12,p,"0.5",0,0.00,21.600,86.00,503,p,,1301
EG,12,p,"0.75",0,0.00,23.100,92.00,585,p,,1301
EG,12,p,"1",0,0.00,24.200,97.00,730,p,,1301
EG,12,p,"1.5",0,0.00,26.800,107.00,906,p,,1301
EG,12,p,"14",0,0.00,1.265,5.06,956,p,,1302
EG,12,p,"16",0,0.00,1.150,4.60,717,p,,1302
EG,12,p,"18",0,0.00,1.075,4.30,582,p,,1302
EG,12,p,"2.5",0,0.00,30.200,121.00,1223,p,,1301
EG,16,p,"0.5",0,0.00,23.800,95.00,626,p,,1301
EG,16,p,"0.75",0,0.00,25.400,102.00,731,p,,1301
EG,16,p,"1",0,0.00,26.600,106.00,922,p,,1301
EG,16,p,"1.5",0,0.00,29.600,118.00,1148,p,,1301
EG,16,p,"14",0,0.00,1.400,5.60,1201,p,,1302
EG,16,p,"16",0,0.00,1.270,5.08,890,p,,1302
EG,16,p,"18",0,0.00,1.180,4.72,715,p,,1302
EG,16,p,"2.5",0,0.00,33.500,134.00,1575,p,,1301
EG,20,p,"0.5",0,0.00,24.800,99.00,729,p,,1301
EG,20,p,"0.75",0,0.00,26.500,106.00,855,p,,1301
EG,20,p,"1",0,0.00,27.700,111.00,1089,p,,1301
EG,20,p,"1.5",0,0.00,31.100,124.00,1375,p,,1301
EG,20,p,"14",0,0.00,1.545,6.18,1464,p,,1302
EG,20,p,"16",0,0.00,1.400,5.60,1078,p,,1302
EG,20,p,"18",0,0.00,1.305,5.22,861,p,,1302
EG,20,p,"2.5",0,0.00,35.000,140.00,1880,p,,1301
EG,24,p,"0.5",0,0.00,26.500,106.00,849,p,,1301
EG,24,p,"0.75",0,0.00,28.300,113.00,997,p,,1301
EG,24,p,"1",0,0.00,29.700,119.00,1277,p,,1301
EG,24,p,"1.5",0,0.00,33.000,132.00,1597,p,,1301
EG,24,p,"14",0,0.00,1.780,7.12,1844,p,,1302
EG,24,p,"16",0,0.00,1.550,6.20,1272,p,,1302
EG,24,p,"18",0,0.00,1.440,5.76,1012,p,,1302
EG,24,p,"2.5",0,0.00,37.400,150.00,2211,p,,1301
EG,27,p,"0.5",0,0.00,27.700,111.00,932,p,,1301
EG,27,p,"0.75",0,0.00,29.600,118.00,1095,p,,1301
EG,27,p,"1",0,0.00,31.200,125.00,1423,p,,1301
EG,27,p,"1.5",0,0.00,34.800,139.00,1782,p,,1301
EG,27,p,"14",0,0.00,1.820,7.28,1964,p,,1302
EG,27,p,"16",0,0.00,1.585,6.34,1348,p,,1302
EG,27,p,"18",0,0.00,1.470,5.88,1065,p,,1302
EG,27,p,"2.5",0,0.00,39.400,157.00,2468,p,,1301
EG,36,p,"0.5",0,0.00,31.400,126.00,1205,p,,1301
EG,36,p,"0.75",0,0.00,33.500,134.00,1409,p,,1301
EG,36,p,"1",0,0.00,35.100,140.00,1832,p,,1301
EG,36,p,"1.5",0,0.00,39.400,157.00,2317,p,,1301
EG,36,p,"14",0,0.00,2.025,8.10,2497,p,,1302
EG,36,p,"16",0,0.00,1.835,7.34,1823,p,,1302
EG,36,p,"18",0,0.00,1.635,6.54,1340,p,,1302
EG,36,p,"2.5",0,0.00,44.600,178.00,3218,p,,1301
EH,1,c,"10",0,0.00,8.400,25.30,136,p,,1301
EH,1,c,"120",0,0.00,20.600,61.90,1225,p,,1301
EH,1,c,"150",0,0.00,23.100,69.20,1551,p,,1301
EH,1,c,"16",0,0.00,9.400,28.30,191,p,,1301
EH,1,c,"185",0,0.00,25.200,75.70,1869,p,,1301
EH,1,c,"240",0,0.00,28.000,83.90,2389,p,,1301
EH,1,c,"25",0,0.00,11.100,33.40,282,p,,1301
EH,1,c,"300",0,0.00,30.600,91.90,3008,p,,1301
EH,1,c,"35",0,0.00,12.300,36.90,375,p,,1301
EH,1,c,"400",0,0.00,35.000,105.10,3873,p,,1301
EH,1,c,"50",0,0.00,14.000,41.90,513,p,,1301
EH,1,c,"500",0,0.00,38.900,116.80,4873,p,,1301
EH,1,c,"6",0,0.00,7.400,22.30,93,p,,1301
EH,1,c,"630",0,0.00,43.200,129.60,6098,p,,1301
EH,1,c,"70",0,0.00,16.000,48.10,729,p,,1301
EH,1,c,"800",0,0.00,52.300,156.90,7653,p,,1302
EH,1,c,"95",0,0.00,18.000,53.90,905,p,,1301
ES,1,P,"0.5",0,0.00,10.000,50.00,90,p,,1301
ES,1,P,"0.75",0,0.00,10.600,53.00,100,p,,1301
ES,1,P,"1",0,0.00,11.000,55.00,105,p,,1301
ES,1,P,"1.5",0,0.00,11.500,58.00,120,p,,1301
ES,1,P,"14",0,0.00,0.440,2.20,106,p,,1302
ES,1,P,"16",0,0.00,0.410,2.10,83,p,,1302
ES,1,P,"18",0,0.00,0.385,1.90,70,p,,1302
ES,1,P,"2.5",0,0.00,12.700,64.00,152,p,,1301
ES,1,T,"0.5",0,0.00,10.700,54.00,108,p,,1301
ES,1,T,"0.75",0,0.00,11.300,57.00,125,p,,1301
ES,1,T,"1",0,0.00,11.600,58.00,129,p,"",1301
ES,1,T,"1.5",0,0.00,12.300,62.00,152,p,,1301
ES,1,T,"14",0,0.00,0.465,2.30,121,p,,1302
ES,1,T,"16",0,0.00,0.430,2.20,93,p,,1302
ES,1,T,"18",0,0.00,0.405,2.00,78,p,,1302
ES,1,T,"2.5",0,0.00,12.300,62.00,152,p,"",1301
ES,2,P,"0.5",0,0.00,11.800,59.00,138,p,,1301
ES,2,P,"0.75",0,0.00,12.400,62.00,162,p,,1301
ES,2,P,"1",0,0.00,12.700,64.00,170,p,,1301
ES,2,P,"1.5",0,0.00,13.500,68.00,200,p,,1301
ES,2,P,"14*",0,0.00,0.505,2.50,147,p,,1302
ES,2,P,"16*",0,0.00,0.465,2.30,113,p,,1302
ES,2,P,"18*",0,0.00,0.440,2.20,93,p,,1302
ES,2,P,"2.5",0,0.00,14.900,75.00,262,p,,1301
ES,3,T,"0.75",0,0.00,16.000,80.00,231,p,,1301
ES,3,T,"1.5",0,0.00,18.200,91.00,321,p,,1301
ES,3,T,"14",0,0.00,0.890,4.50,386,p,,1302
ES,3,T,"16",0,0.00,0.775,3.90,273,p,,1302
ES,3,T,"18",0,0.00,0.730,3.70,226,p,,1302
ES,4,P,"0.5",0,0.00,17.900,90.00,264,p,,1301
ES,4,P,"0.75",0,0.00,18.900,95.00,307,p,,1301
ES,4,P,"1",0,0.00,19.600,98.00,327,p,,1301
ES,4,P,"1.5",0,0.00,20.900,105.00,392,p,,1301
ES,4,P,"14",0,0.00,0.810,4.10,302,p,,1302
ES,4,P,"16",0,0.00,0.745,3.70,236,p,,1302
ES,4,P,"18",0,0.00,0.700,3.50,195,p,,1302
ES,4,P,"2.5",0,0.00,23.100,116.00,513,p,,1301
ES,4,T,"0.75",0,0.00,17.700,89.00,292,p,,1301
ES,4,T,"1.5",0,0.00,20.000,100.00,410,p,,1301
ES,4,T,"14",0,0.00,0.970,4.90,451,p,,1302
ES,4,T,"16",0,0.00,0.895,4.50,354,p,,1302
ES,4,T,"18",0,0.00,0.795,4.00,261,p,,1302
ES,7,T,"0.75",0,0.00,21.500,108.00,461,p,,1301
ES,7,T,"14",0,0.00,1.165,5.80,689,p,,1302
ES,7,T,"16",0,0.00,1.070,5.40,531,p,,1302
ES,7,T,"18",0,0.00,1.005,5.00,434,p,,1302
ES,8,P,"0.5",0,0.00,24.500,123.00,479,p,,1301
ES,8,P,"0.75",0,0.00,26.000,130.00,562,p,,1301
ES,8,P,"1",0,0.00,27.000,135.00,596,p,,1301
ES,8,P,"1.5",0,0.00,28.800,144.00,718,p,,1301
ES,8,P,"14",0,0.00,1.105,5.50,569,p,,1302
ES,8,P,"16",0,0.00,1.015,5.10,443,p,,1302
ES,8,P,"18",0,0.00,0.955,4.80,366,p,,1302
ES,8,P,"2.5",0,0.00,32.000,160.00,960,p,,1301
ES,10,P,"0.5",0,0.00,22.800,114.00,383,p,,1301
ES,10,P,"0.75",0,0.00,24.000,120.00,441,p,,1301
ES,10,P,"1",0,0.00,24.900,124.00,499,p,,1301
ES,10,P,"1.5",0,0.00,27.100,136.00,626,p,,1301
ES,10,P,"14",0,0.00,1.295,6.50,749,p,,1302
ES,10,P,"16",0,0.00,1.185,5.90,584,p,,1302
ES,10,P,"18",0,0.00,1.110,5.60,482,p,,1302
ES,10,P,"2.5",0,0.00,30.500,152.00,865,p,,1301
ES,12,P,"0.5",0,0.00,29.100,145.00,676,p,,1301
ES,12,P,"0.75",0,0.00,30.800,154.00,793,p,,1301
ES,12,P,"1",0,0.00,32.000,160.00,845,p,,1301
ES,12,P,"1.5",0,0.00,34.200,171.00,1024,p,,1301
ES,12,P,"14",0,0.00,1.335,6.70,799,p,,1302
ES,12,P,"16",0,0.00,1.225,6.10,617,p,,1302
ES,12,P,"18",0,0.00,1.145,5.70,505,p,,1302
ES,12,P,"2.5",0,0.00,38.000,190.00,1379,p,,1301
ES,16,P,"0.5",0,0.00,27.300,137.00,559,p,,1301
ES,16,P,"0.75",0,0.00,28.900,144.00,663,p,,1301
ES,16,P,"1",0,0.00,30.100,150.00,753,p,,1301
ES,16,P,"1.5",0,0.00,32.700,164.00,950,p,,1301
ES,16,P,"14",0,0.00,1.490,7.50,1022,p,,1302
ES,16,P,"16",0,0.00,1.360,6.80,782,p,,1302
ES,16,P,"18",0,0.00,1.270,6.40,636,p,,1302
ES,16,P,"2.5",0,0.00,37.000,185.00,1336,p,,1301
ES,20,P,"0.5",0,0.00,28.900,144.00,670,p,,1301
ES,20,P,"0.75",0,0.00,30.300,151.00,783,p,,1301
ES,20,P,"1",0,0.00,31.700,159.00,907,p,,1301
ES,20,P,"1.5",0,0.00,34.500,172.00,1148,p,,1301
ES,20,P,"14",0,0.00,1.655,8.30,1265,p,,1302
ES,20,P,"16",0,0.00,1.510,7.60,965,p,,1302
ES,20,P,"18",0,0.00,1.410,7.10,783,p,,1302
ES,20,P,"2.5",0,0.00,39.000,195.00,1620,p,,1301
ES,24,P,"0.5",0,0.00,30.800,154.00,787,p,,1301
ES,24,P,"0.75",0,0.00,32.400,162.00,922,p,,1301
ES,24,P,"1",0,0.00,34.000,170.00,1067,p,,1301
ES,24,P,"1.5",0,0.00,36.900,185.00,1353,p,,1301
ES,24,P,"14",0,0.00,1.915,9.60,1630,p,,1302
ES,24,P,"16",0,0.00,1.750,8.80,1259,p,,1302
ES,24,P,"18",0,0.00,1.570,7.90,932,p,,1302
ES,24,P,"2.5",0,0.00,41.500,208.00,1894,p,,1301
ES,27,P,"0.5",0,0.00,32.300,162.00,868,p,,1301
ES,27,P,"0.75",0,0.00,34.300,171.00,1033,p,,1301
ES,27,P,"1",0,0.00,35.700,179.00,1179,p,,1301
ES,27,P,"1.5",0,0.00,38.800,194.00,1497,p,,1301
ES,27,P,"14",0,0.00,1.955,9.80,1728,p,,1302
ES,27,P,"16",0,0.00,1.785,8.90,1327,p,,1302
ES,27,P,"18",0,0.00,1.605,8.00,980,p,,1302
ES,27,P,"2.5",0,0.00,43.900,219.00,2122,p,,1301
ES,36,P,"0.5",0,0.00,36.700,184.00,1133,p,,1301
ES,36,P,"0.75",0,0.00,38.600,193.00,1334,p,,1301
ES,36,P,"1",0,0.00,40.400,202.00,1543,p,,1301
ES,36,P,"1.5",0,0.00,44.000,220.00,1964,p,,1301
ES,36,P,"14",0,0.00,2.190,11.00,2221,p,,1302
ES,36,P,"16",0,0.00,2.000,10.00,1694,p,,1302
ES,36,P,"18",0,0.00,1.865,9.30,1372,p,,1302
ES,36,P,"2.5",0,0.00,49.700,248.00,2784,p,,1301
ET,37,c,"2.5",0,0.00,29.700,118.70,1607,p,,1301
EU,1,c,"10",0,0.00,10.100,40.20,188,p,,1301
EU,1,c,"120",0,0.00,22.200,89.00,1356,p,,1301
EU,1,c,"150",0,0.00,24.700,98.80,1697,p,,1301
EU,1,c,"16",0,0.00,11.100,44.30,251,p,,1301
EU,1,c,"185",0,0.00,27.100,108.20,2041,p,,1301
EU,1,c,"240",0,0.00,29.800,119.30,2579,p,,1301
EU,1,c,"25",0,0.00,12.600,50.20,347,p,,1301
EU,1,c,"300",0,0.00,32.500,129.90,3216,p,,1301
EU,1,c,"35",0,0.00,13.900,55.70,453,p,,1301
EU,1,c,"400",0,0.00,36.700,146.70,4094,p,,1301
EU,1,c,"50",0,0.00,15.600,62.40,602,p,,1301
EU,1,c,"500",0,0.00,40.500,162.20,5118,p,,1301
EU,1,c,"6",0,0.00,9.100,36.30,139,p,,1301
EU,1,c,"630",0,0.00,45.000,180.20,6391,p,,1301
EU,1,c,"70",0,0.00,17.900,71.40,838,p,,1301
EU,1,c,"95",0,0.00,19.800,79.20,1028,p,,1301
EU,3,c,"1.5",1,1.50,13.200,52.60,226,p,,1301
EU,3,c,"10",3,1.50,18.500,73.80,549,p,,1301
EU,3,c,"120",3,16.00,41.600,166.50,4148,p,,1301
EU,3,c,"150",3,25.00,45.200,180.70,5208,p,,1301
EU,3,c,"16",3,2.50,19.400,77.50,741,p,,1301
EU,3,c,"185",3,25.00,50.200,200.70,5965,p,,1301
EU,3,c,"2.5",1,2.50,14.000,57.10,282,p,,1301
EU,3,c,"240",3,35.00,55.400,221.50,7800,p,,1301
EU,3,c,"25",3,4.00,22.800,91.40,1073,p,,1301
EU,3,c,"300",3,50.00,61.800,247.20,9962,p,,1301
EU,3,c,"35",3,6.00,25.300,101.20,1417,p,,1301
EU,3,c,"4",1,4.00,15.500,62.00,356,p,,1301
EU,3,c,"50",3,10.00,28.900,115.50,1978,p,,1301
EU,3,c,"6",1,6.00,16.800,67.30,451,p,,1301
EU,3,c,"70",3,10.00,33.500,133.80,2669,p,,1301
EU,3,c,"95",3,16.00,37.300,149.30,3366,p,,1301
EW,1,p,"0.5",0,0.00,7.500,23.00,64,p,,1301
EW,1,p,"0.75",0,0.00,7.900,24.00,72,p,,1301
EW,1,p,"1",0,0.00,8.200,24.00,82,p,,1301
EW,1,p,"1.5",0,0.00,9.200,28.00,102,p,,1301
EW,1,p,"14",0,0.00,0.390,1.20,90,p,,1302
EW,1,p,"16",0,0.00,0.360,1.10,69,p,,1302
EW,1,p,"18",0,0.00,0.340,1.00,56,p,,1302
EW,1,p,"2.5",0,0.00,10.100,30.00,134,p,,1301
EW,1,t,"0.75",0,0.00,8.800,26.00,84,p,,1301
EW,1,t,"1.5",0,0.00,9.800,29.00,116,p,,1301
EW,1,t,"14",0,0.00,0.415,1.20,103,p,,1302
EW,1,t,"16",0,0.00,0.380,1.10,77,p,,1302
EW,1,t,"18",0,0.00,0.355,1.10,63,p,,1302
EW,1,t,"2.5",0,0.00,10.800,32.00,153,p,,1301
EW,2,p,"0.5",0,0.00,11.500,35.00,121,p,,1301
EW,2,p,"0.75",0,0.00,12.100,36.00,137,p,,1301
EW,2,p,"1",0,0.00,12.600,38.00,156,p,,1301
EW,2,p,"1.5",0,0.00,13.900,42.00,187,p,,1301
EW,2,p,"14",0,0.00,0.635,1.90,208,p,,1302
EW,2,p,"16",0,0.00,0.580,1.70,159,p,,1302
EW,2,p,"18",0,0.00,0.510,1.50,114,p,,1302
EW,2,p,"2.5",0,0.00,15.600,47.00,252,p,,1301
EW,3,t,"0.75",0,0.00,13.800,41.00,188,p,,1301
EW,3,t,"1.5",0,0.00,16.100,48.00,278,p,,1301
EW,3,t,"14",0,0.00,0.760,2.30,328,p,,1302
EW,3,t,"16",0,0.00,0.695,2.10,243,p,,1302
EW,3,t,"18",0,0.00,0.645,1.90,195,p,,1302
EW,4,p,"0.5",0,0.00,13.600,41.00,164,p,,1301
EW,4,p,"0.75",0,0.00,14.500,43.00,194,p,,1301
EW,4,p,"1",0,0.00,15.200,46.00,225,p,,1301
EW,4,p,"1.5",0,0.00,16.400,49.00,272,p,,1301
EW,4,p,"14",0,0.00,0.775,2.30,308,p,,1302
EW,4,p,"16",0,0.00,0.705,2.10,227,p,,1302
EW,4,p,"18",0,0.00,0.655,2.00,182,p,,1302
EW,4,p,"2.5",0,0.00,18.800,56.00,378,p,,1301
EW,4,t,"0.75",0,0.00,15.300,46.00,239,p,,1301
EW,4,t,"1.5",0,0.00,17.900,54.00,356,p,,1301
EW,4,t,"14",0,0.00,0.835,2.50,392,p,,1302
EW,4,t,"16",0,0.00,0.755,2.30,286,p,,1302
EW,4,t,"18",0,0.00,0.705,2.10,226,p,,1302
EW,6,t,"2.5",0,0.00,24.400,73.00,807,p,,1301
EW,7,t,"0.75",0,0.00,18.600,56.00,377,p,,1301
EW,7,t,"1.5",0,0.00,21.600,65.00,571,p,,1301
EW,7,t,"14",0,0.00,1.050,3.20,658,p,,1302
EW,7,t,"16",0,0.00,0.955,2.90,480,p,,1302
EW,7,t,"18",0,0.00,0.885,2.70,378,p,,1302
EW,8,p,"0.5",0,0.00,17.300,52.00,289,p,,1301
EW,8,p,"0.75",0,0.00,18.400,55.00,333,p,,1301
EW,8,p,"1",0,0.00,19.300,58.00,392,p,,1301
EW,8,p,"1.5",0,0.00,21.500,65.00,494,p,,1301
EW,8,p,"14",0,0.00,1.000,3.00,567,p,,1302
EW,8,p,"16",0,0.00,0.910,2.70,415,p,,1302
EW,8,p,"18",0,0.00,0.805,2.40,295,p,,1302
EW,8,p,"2.5",0,0.00,24.400,73.00,690,p,,1301
EW,10,p,"0.5",0,0.00,18.800,56.00,343,p,,1301
EW,10,p,"0.75",0,0.00,20.100,60.00,406,p,,1301
EW,10,p,"1",0,0.00,21.000,63.00,479,p,,1301
EW,10,p,"1.5",0,0.00,23.600,71.00,604,p,,1301
EW,10,p,"14",0,0.00,1.170,3.50,737,p,,1302
EW,10,p,"16",0,0.00,1.060,3.20,539,p,,1302
EW,10,p,"18",0,0.00,0.985,3.00,428,p,,1302
EW,10,p,"2.5",0,0.00,26.600,80.00,846,p,,1301
EW,12,p,"0.5",0,0.00,20.500,62.00,407,p,,1301
EW,12,p,"0.75",0,0.00,21.700,65.00,472,p,,1301
EW,12,p,"1",0,0.00,23.100,69.00,569,p,,1301
EW,12,p,"1.5",0,0.00,25.700,77.00,717,p,,1301
EW,12,p,"14",0,0.00,1.205,3.60,802,p,,1302
EW,12,p,"16",0,0.00,1.090,3.30,579,p,,1302
EW,12,p,"18",0,0.00,1.015,3.00,455,p,,1302
EW,12,p,"2.5",0,0.00,29.100,87.00,1005,p,,1301
EW,16,p,"0.5",0,0.00,22.600,68.00,521,p,,1301
EW,16,p,"0.75",0,0.00,24.100,72.00,606,p,,1301
EW,16,p,"1",0,0.00,25.500,77.00,731,p,,1301
EW,16,p,"1.5",0,0.00,28.500,85.00,924,p,,1301
EW,16,p,"14",0,0.00,1.340,4.00,1029,p,,1302
EW,16,p,"16",0,0.00,1.210,3.60,736,p,,1302
EW,16,p,"18",0,0.00,1.125,3.40,573,p,,1302
EW,16,p,"2.5",0,0.00,32.100,96.00,1301,p,,1301
EW,20,p,"0.5",0,0.00,23.700,71.00,619,p,,1301
EW,20,p,"0.75",0,0.00,25.400,76.00,734,p,,1301
EW,20,p,"1",0,0.00,26.600,80.00,875,p,,1301
EW,20,p,"1.5",0,0.00,29.800,89.00,1110,p,,1301
EW,20,p,"14",0,0.00,1.485,4.50,1272,p,,1302
EW,20,p,"16",0,0.00,1.345,4.00,906,p,,1302
EW,20,p,"18",0,0.00,1.245,3.70,702,p,,1302
EW,20,p,"2.5",0,0.00,33.900,102.00,1586,p,,1301
EW,24,p,"0.5",0,0.00,25.400,76.00,731,p,,1301
EW,24,p,"0.75",0,0.00,26.900,81.00,857,p,,1301
EW,24,p,"1",0,0.00,28.600,86.00,1036,p,,1301
EW,24,p,"1.5",0,0.00,31.900,96.00,1315,p,,1301
EW,24,p,"14",0,0.00,1.655,5.00,1520,p,,1302
EW,24,p,"16",0,0.00,1.490,4.50,1080,p,,1302
EW,24,p,"18",0,0.00,1.380,4.10,835,p,,1302
EW,24,p,"2.5",0,0.00,36.300,109.00,1880,p,,1301
EW,27,p,"0.5",0,0.00,26.600,80.00,809,p,,1301
EW,27,p,"0.75",0,0.00,28.500,85.00,961,p,,1301
EW,27,p,"1",0,0.00,29.900,90.00,1150,p,,1301
EW,27,p,"1.5",0,0.00,33.700,101.00,1474,p,,1301
EW,27,p,"14",0,0.00,1.760,5.30,1740,p,,1302
EW,27,p,"16",0,0.00,1.525,4.60,1151,p,,1302
EW,27,p,"18",0,0.00,1.410,4.20,884,p,,1302
EW,27,p,"2.5",0,0.00,38.000,114.00,2092,p,,1301
EW,36,p,"0.5",0,0.00,30.100,90.00,1051,p,,1301
EW,36,p,"0.75",0,0.00,32.100,96.00,1251,p,,1301
EW,36,p,"1",0,0.00,34.000,102.00,1514,p,,1301
EW,36,p,"1.5",0,0.00,38.000,114.00,1923,p,,1301
EW,36,p,"14",0,0.00,1.965,5.90,2245,p,,1302
EW,36,p,"16",0,0.00,1.775,5.30,1597,p,,1302
EW,36,p,"18",0,0.00,1.575,4.70,1135,p,,1302
EW,36,p,"2.5",0,0.00,43.200,130.00,2756,p,,1301
EX,1,c,"10",0,0.00,9.000,27.10,146,p,,1301
EX,1,c,"120",0,0.00,23.700,71.20,1381,p,,1301
EX,1,c,"150",0,0.00,26.600,79.80,1749,p,,1301
EX,1,c,"16",0,0.00,10.300,30.80,207,p,,1301
EX,1,c,"185",0,0.00,28.900,86.80,2098,p,,1301
EX,1,c,"240",0,0.00,31.700,95.10,2641,p,,1301
EX,1,c,"25",0,0.00,12.400,37.10,311,p,,1301
EX,1,c,"300",0,0.00,34.400,103.10,3283,p,,1301
EX,1,c,"35",0,0.00,14.000,41.90,418,p,,1301
EX,1,c,"400",0,0.00,38.800,116.30,4186,p,,1301
EX,1,c,"50",0,0.00,16.000,48.10,576,p,,1301
EX,1,c,"500",0,0.00,42.800,128.50,5239,p,,1301
EX,1,c,"6",0,0.00,7.900,23.60,98,p,,1301
EX,1,c,"630",0,0.00,47.300,142.00,6525,p,,1301
EX,1,c,"70",0,0.00,18.500,55.50,816,p,,1301
EX,1,c,"95",0,0.00,20.600,61.90,1011,p,,1301
EX,2,c,"1.5",0,0.00,9.100,27.00,101,p,,1301
EX,2,c,"1.5",1,1.50,9.800,29.00,120,p,,1301
EX,2,c,"10",0,0.00,17.200,52.00,432,p,,1301
EX,2,c,"10",1,10.00,18.300,55.00,530,p,,1301
EX,2,c,"120",1,120.00,46.800,140.00,4508,p,,1301
EX,2,c,"150",1,150.00,51.000,153.00,5521,p,,1301
EX,2,c,"16",0,0.00,19.600,59.00,599,p,,1301
EX,2,c,"16",1,16.00,20.800,62.00,745,p,,1301
EX,2,c,"185",1,185.00,56.800,171.00,6559,p,,1301
EX,2,c,"2.5",0,0.00,10.400,31.00,142,p,,1301
EX,2,c,"2.5",1,2.50,11.100,33.00,172,p,,1301
EX,2,c,"240",1,240.00,62.600,188.00,8427,p,,1301
EX,2,c,"25",0,0.00,23.700,71.00,897,p,,1301
EX,2,c,"25",1,25.00,25.200,75.00,1121,p,,1301
EX,2,c,"300",1,300.00,69.900,210.00,10618,p,,1301
EX,2,c,"35",0,0.00,26.400,79.00,1166,p,,1301
EX,2,c,"35",1,35.00,28.000,84.00,1473,p,,1301
EX,2,c,"4",0,0.00,11.500,34.00,181,p,,1301
EX,2,c,"4",1,4.00,12.300,37.00,222,p,,1301
EX,2,c,"50",1,50.00,32.200,97.00,2025,p,,1301
EX,2,c,"6",0,0.00,13.000,39.00,245,p,,1301
EX,2,c,"6",1,6.00,13.900,42.00,303,p,,1301
EX,2,c,"70",1,70.00,37.600,113.00,2876,p,,1301
