"desc_code","desc_name"
TK,c(UL)us TC-ER 600V 90C DRY FT1 SUN RES SHIELDED -CIC
TB,c(UL)us TC-ER 600V 90C DRY FT1 SUN RES SHIELDED -CIC
TF,c(UL)us TC-ER 600V 90C DRY FT1 SUN RES SHIELDED -CIC
LN,Flexible Earth Anti-Termite 0.6/1kV LSZH 110C AS5000.1
KB,Flexible Rubber Figure-8 X-HF-110 AS/NZS5000.1 0.6/1kV
GP,"0.6/1kV flame retardant single insulated with mica tape"
GB,"0.6/1kV X125 single insulated with mica tape"
LD,"0.6/1kV R-E-110 Flexible Insulation 110C AS/NZ5000.1"
KF,"0.6/1KV 110C LSZH AS5000.1 SUBMERSIBLE HEAVY METAL FREE"
TX,(UL) TYPE MTW 600V
VX,(UL) Type XHHW-2 600V
VN,(UL) Type RHW-2 600V
VA,(UL) Type RHW-2 2000V
VH,Flexible XLPE/PVC AS/NZS1429.1
VP,c(UL)us TC-ER 600V 90C DRY/WET SUN RES DIR BUR - CIC FT4
XD,Flexible Anti-Termite X-90 0.6/1kV ASNZS5000.1 90C
VV,c(UL)us TC-ER 600V 90C DRY/WET SUN RES DIR BUR - CIC FT4
VW,c(UL)us TC-ER 2000V 90C DRY/WET SUN RES DIR BUR - CIC FT4
VR,c(UL)us TC-ER 600V 90C DRY/WET SUN RES DIR BUR - CIC FT4
TW97,TC-ER 2kV VFD SERVO 3 Cond + 3 Un-Insulated Grounds CU Tape
LE,"IEEE 1580 LSE/LSX, UL 1309 X-110, 110C 2kV LSZH"
DG,"1.8/3KV IEC 60092-350 2KV IEEE 45/1580 90C VFD LSZH"
CA,Flexible Wire Armour LSZH X-HF-110 0.6/1kV AS/NZS5000.1
XA,Flexible Wire Armour 90C Rubber X-90 0.6/1kV AS/NZS5000.1
V1,Flexible R-EP-125 1.9/3.3kV 125C VDE0250/602 LSZH
CD,Flexible Anti-Termite X-HF-110 0.6/1kV ASNZS5000.1 125C LSZH
V3,"Flexible EPR AS/NZS1429.1, 3.8/6.6kV HEAVY SCREENED"
EA,Flexible Rubber SWA VSD XHF-1100.6/1kV AS/NZS5000.1
V2,"Flexible EPR AS/NZS1429.1, 1.9/3.3kV Heavy Screened"
V4,"Flexible EPR AS/NZS1429.1, 6.35/11kV Heavy Screened"
V6,"Flexible EPR AS/NZS14.29, 12.7/22kV Heavy Screened"
V7,"Flexible EPR AS/NZS1429.1, 19/33kV Heavy Screened"
HB,Flexible X-HF-110/HFS-110-TP 0.9/1.5kV dc ASNZS5000.1 LSZH
WB,"300V 90C THERMOCOUPLE CABLE Ind/Coll LSZH"
RA,Flexible Rubber SWA OAS 125C X-HF-110 450/750V AS/NZS5000.3
VS,c(UL)us TC-ER 2000V 90C DRY/WET SUN RES DIR BUR - CIC FT4
RH,Flexible X-HF-110/IND/OAS/S-20 450/750V AS/NZS5000.3
IA,Flexible Rubber SWA X-HF-110/IND/OAS 450/750V AS/NZS5000.3
FA,Flexible SWA Fire Rated 125C LSZH X-HF-110 0.6/1kV AS5000.1
KL,Flexible Rubber X-HF-110 0.6/1kV 110C AS/NZS5000.1
NS,Flexible Switchboard V-90HT 0.6/1kV 105C AS/NZS5000.1
DA,Flexible SWA 90C Rubber EMC X-90 0.6/1kV AS/NZS50000.1
VD,"0.6/1kV flame retardant single insulated with mica tape"
KA,Flexible Rubber Wire Armour X-HF-110 0.6/1kV AS/NZS5000.1
NT,"0.6/1KV 90C NEK TS 606 IEC 60332-3-22 60331-21 LSZH Fire"
NJ,"0.6/1KV 90C NEK TS 606 IEC 60332-3-22 LSZH"
KU,Flexible EMC X-HF-110/E-Rubber S-20 0.6/1kV AS/NZS5000.1
KD,Flexible Rubber Anti-Termite X-HF-110 0.6/1kV AS/NZS5000.1
KE,Flexible Rubber X-HF-110 450/750V 110C AS/NZS5000.3 Coll Scr
KI,Flexible Rubber X-HF-110 450/750V AS/NZS5000.3 Ind/Coll Scr
KN,Flexible Rubber Anti-Termite X-HF-110 0.6/1kV AS/NZS5000.1
KG,Flexible Rubber X-HF-110 0.6/1kV AS/NZS5000.1 Coll Scr
RE,Flexible Rubber X-HF-110 450/750V 110C AS/NZS5000.3 Coll
M3,Flexible EPR IEC60092-354 IEC60092-3-22 3.6/6kV LSZH
E2,"Flexible EPR AS/NZS1429.1, 1.9/3.3kV Heavy Screened LSZH"
E3,"Flexible EPR AS/NZS1429.1, 3.8/6.6kV Heavy Screened LSZH"
E4,"Flexible EPR AS/NZS1429.1, 6.35/11kV Heavy Screened LSZH"
E6,"Flexible EPR AS/NZS1429.1, 12.7/22kV Heavy Screened LSZH"
E7,"Flexible EPR AS/NZS1429.1, 19/33kV Heavy Screened LSZH"
N2,"Flexible EPR AS/NZS1429.1, 1.9/3.3kV Heavy Scr Anti-Termite"
N3,"Flexible EPR AS/NZS1429.1, 3.8/6.6kV Heavy Scr Anti-Termite"
N4,"Flexible EPR AS/NZS1429.1, 6.35/11kV Heavy Scr Anti-Termite"
N6,"Flexible EPR AS/NZS1429.1, 12.7/22kV Heavy Scr Anti-Termite"
N7,"Flexible EPR AS/NZS1429.1, 19/33kV Heavy Scr Anti-Termite"
S2,"Flexible EPR AS/NZS1429.1, 1.9/3.3kV Heavy Screened SWA"
S3,"Flexible EPR AS/NZS1429.1, 3.8/6.6kV Heavy Screened SWA"
S4,"Flexible EPR AS/NZS1429.1, 6.35/11kV Heavy Screened SWA"
S6,"Flexible EPR AS/NZS1429.1, 12.7/22kV Heavy Screened SWA"
NV,"0.6/1kV 90C NEK TS 606 IEC60332-3-22 LSZH"
NR,"0.6/1kV 90C NEK TS 606 IEC60332-3-22 IEC60331-1/21 LSZH Fire"
NU,P1/P8 VFD Cable NEK TS 606 IEC60032-3-22 0.6/1kV
KC,Flexible Rubber X-HF-110 450/750V AS/NZS 5000.2
R1,Flexible R-E-110 110V Collective Screen Instrumentation
R2,Flexible SWA R-E-110 110V Collective Screen Instrumentation
R3,Flexible R-E-110 110V Ind & Coll Screen Instrumentation
R4,Flexible SWA R-E-110 110V Ind & Coll Screen Instrumentation
C1,Flexible R-E-110 110V Control
C2,Flexible R-E-110 110V Braided Control
C4,Flexible X-HF-110 110V 125C LSZH Control
C5,Flexible X-HF-110 110V 125C LSZH Braided Control
C3,Flexible SWA R-E-110 110V Control
C6,Flexible SWA X-HF-110 125C 110V LSZH Control
TD639,X-HF-110/HFS-110-TP 0.6/1kV LSZH AS/NZS5000.1 Ind&Coll Scr
RJ,Flexible X-HF-110/IND/OAS/T-10 LSZH 450/750V AS/NZS5000.3
M4,Flexible EPR 6/10kV IEC60092-354 IEC60332-3-22 NEK606 LSZH
M5,Flexible EPR 8.7/15kV IEC60092-354 IEC60332-3-22 NEK606 LSZH
M6,Flexible EPR 12/20kV IEC60092-354 IEC60332-3-22 NEK606 LSZH
