"desc_code","desc_name"
R5,"LSZH INSTRUMENTATION , 110 V  -40C to 125C"
UPC,"0.6/1KV 90C IEC 60332-3-22 IEEE-45 LSZH"
D24,EMC Spring Gland
PSXA,IEC C19 Connector Lead
PS6,Anderson Plug Leads
A53,Terminal Blocks
A43,Insulated Bootlace/Ferrule Reel
A41,"Quick Connect, Piggy Back Connector Vinyl Insulated"
A44,Double Grip Quick Connect Male Spade
A45,Double Grip Quick Connect Female Spade
LL1E,"Lug - Lug Copper Earth Leads, B06"
Z41,DIN Rail Cutter
HIRE,Accessories Hire
I01,Nylon Socket Head Cap Screw
G12,EPDM Cold Shrink Tube
SY,Fig8 PV Cable 1500V DC 62930 IEC 133
J95,TECHNO Plug Piercing-Connector
J96,TECHNO Socket Piercing-Connector
J97,TECHNO Junction Box
D25,EMC Fire Rated Glands - Stainless Steel
B36,Copper Reducing Links
X12,"Tubular, Single Eye Cable Stocking"
X13,"Tubular, Offset Eye Cable Stocking"
E02,Twilight Switch
A60,Uninsulated Female Spade Connector
A61,Uninsulated Crimp Ring Terminal
LKEN,Kennards Lug Lead Kit
Z37,"60T Hydraulic Electric Pump"
TC12,"Twisted Pair, RE, BK"
PSKH1C,Kennards Hire Plug-Socket Lead J01/J03 - 32A
PSKH2A,Kennards Hire Plug-Socket Lead J09/J10 - 10A
PSKH3E,Kennards Hire Plug-Socket Lead J30/J31 - 63A
G13,Split Braided Sleeve HD
D26,Hazardous Area Glands Stainless Steel
Z50,Exothermic Welding Mould - Striaght Joint
Z51,Exothermic Welding Mould - T Joint
Z60,Exothermic Welding Clamp
Z61,Exothermic Weld Metal
Z62,Exothernmic Cleaning Brush
Z63,Mould Scraper
Z64,Exothermic Mould Sealing Compound
LLA1,"Aluminium Lug Leads, B20"
J13,Mounting Enclosure Lid
BTL,Battery Terminal Lead
B09,Battery Terminal
B37,Aluminium Crimp Lug
J70,Heavy Duty Connector (Plug & Socket)
MAS,Bare Class 2 Copper Conductor
J20,Appliance Inlet - Flat Pin
SIN,AL2/XLPE/PP/PVC  .6/1Kv  AS/NZS 4026
D88,"Brass, Nickel Plated Exd Unarmoured Gland"
D90,D88 Sealing Washer
D89,D88 Locknut
J02S,Angle Plug with Cable Gland
A54,Laminated Copper Flexible Busbar
A55,Twisted Laminated Copper Busbar
D29,Brass Nickel Plated SWA EX Cable Gland
D28,Stainless Steel SWA EX Cable Gland
H03,N1 Ladder Rail Out Cable Tray HDG
H04,N1 Rail Out Ladder Cable Tray Cover
H05,N1 Splice Kit C/W Bolts HDG
D30,SWA Cable Gland Kit - Brass Nickel Plated
B14,Closed Window Copper Bell Mouth Lug
B38,Aluminium Stalk Lug
D31,SWA Cable Gland NPT
D40,Insulated Adapter/Cable Gland - Reducing
D41,Insulated Adaptor/Cable Gland - Increasing
KW,Kenworth Ground 3 X 2 Busbar
A90,Kenworth Ground 3 X 2 Standoff Busbar
Z53,Exothermic Welding Mould - Rod to CU Conductor
B90,Aluminium Crimp Lug
B91,Two Hole Bi-Metallic Lugs
G14,Heat Shrink Standard Dual Wall 3:1
A56,Tinned Copper Earth Bar
B92,Two Hole Copper Lug
W05,Barb Lock Metal Detectable Cable Tie
D91,Locknut - Polyamide IP69 Cable Gland
G15,Fabric Heat Shrink 2:1
EBL,Earth Bonding Leads
J84,Anderson Connector 350A Assembly SB350
W06,Serrated Detectable Cable Ties
J85,Anderson Connector Housing
J86,Anderson Connector Contact
H06,Narrow Slotted Duct
D27,Hazardous Area Glands Brass Nickel Plated
X20,Mag Slab Cable Cover
D42,LSZH Unarmoured Cable Gland
T91,Techno Micro-connector Plug
T92,Techno Micro-connector Socket
T93,Techno Micro-connector Plug Panel
T94,Techno Micro-connector Socket Panel
A65,Right-Angle Ring Terminal Insulated
D32,"Hex Plug for Cable Gland, Metric Thread"
D34,"Allen Key Plug for Cable Glands, Metric Thread"
B93,Aluminium Two Hole Lug
B94,Copper Two Hole Lug
B15,"90 Degree Tinned Copper Lug"
VH4,.
U02,Inline Resin Jointing Kits
PS3,CEEFORM EXTENSION LEAD
D87,EMC Cable Gland
J67,PowerSure Drain Lug Convertor 240sq.mm
D92,Long Thread EMC Gland
B28,Long Palm Two Hole Bi-Metallic Lug
D17,Multi Hole Stainless Steel Cable Gland
D93,Brass Insert - EMC Glands
D94,Locknut - Brass Nickel Plated
J43,Anderson Type Connector Housing
J44,Anderson Type SB175 Contact
J72,Anderson SB175 Connector Contact
A19,"Straight Insulated Pin Terminal, Single Wire"
J36,Ceeform Appliance Inlet
J45,Anderson Type SB50 Contact
J46,Anderson Type 50A Assembly Kit
J87,Anderson Connector 50A Assembly SB50
H91,Slotted Cable Duct (DISC)
A91,"Bootlace/Ferrule, Insulated Single (DISC)"
G91,Heat Shrink 125° Single Wall 2:1 (DISC)
A13,"Lip Blade Terminal, PVC Insulated"
A23,"Double Grip Lip Blade Terminal, PVC Insulated"
J37,Ceeform Angled Outlet
J73,Anderson Connector 120A Assembly SB120
HL,IMC Class 2 LV
EI,Cu/WBT/TR-XLPE/CWS/LSZH AS/NZS 1429.1
B95,Custom 90 Degree Tinned Copper Lug
J23,Ceeform Outlet (3H Earth Position)
G21,Halogen Free Heat Shrink 125° Single Wall 2:1
G23,Heat Shrink 135° Thin Wall 3:1
J99,Angle Plug with Cable Gland
F16,Elbow Conduit Gland
H11,Halogen Free Slotted Duct
A92,Copper Busbar Extension Z Type (90deg)
T90,Techno Mini in-line Joint Connector
J98,Extension Socket Top (J03 Component)
J24,Ceeform Straight Plug (3H Earth Position)
M40,"Medium Voltage Termination Kit, Indoor"
M41,"Medium Voltage Termination Kit, Outdoor"
J88,Ceeform Weatherproof Cover
EH7,IMC H07RN-F
MH,IMC Type 241.1 as per AS/NZS 1802
MB,IMC Type 210.1 as per AS/NZS 1802
MC,IMC Type 209.1 as per AS/NZS 1802
MD,IMC Type 209.3 as per AS/NZS 1802
ME,IMC Type 240.1 as per AS/NZS 1802
MF,IMC Type 240.3 as per AS/NZS 1802
MG,IMC Type 240.11 as per AS/NZS 1802
MI,IMC Type 241.3 as per AS/NZS 1802
MJ,IMC Type 241.11 as per AS/NZS 1802
ML,IMC Type 245.1 as per AS/NZS 1802
MM,IMC Type 245.3 as per AS/NZS 1802
MN,IMC Type 260.1 as per AS/NZS 1802
MO,IMC Type 260.3 as per AS/NZS 1802
MP,IMC Type 260.11 as per AS/NZS 1802
MQ,IMC Type 275.1 as per AS/NZS 1802
MR,IMC Type 1  as per AS/NZS 1972
MS,IMC Type 2S  as per AS/NZS 1972
MT,IMC Type A  as per AS/NZS 1972
MU,IMC Type B  as per AS/NZS 1972
MV,IMC Type 409 as per AS/NZS 2802
MW,IMC Type 412 as per AS/NZS 2802
MX,IMC Type 440 as per AS/NZS 2802
MY,IMC Type 441 as per AS/NZS 2802
MZ,IMC Type 450 as per AS/NZS 2802
M1,IMC Type 451 as per AS/NZS 2802
M2,IMC Type 455 as per AS/NZS 2802
M7,IMC Type 450M  as per AS/NZS 2802
HO,H07RN-F
HD,Hard Drawn Bare Copper
L2,IMC 1.9/3.3kV XLPE/PVC
L3,IMC 6.6kV XLPE/PVC
L4,IMC 6.35/11kV XLPE/PVC AS/NZS 1429.1
PF,PVC FLAT 450/750V 110deg
L6,IMC 12.7/22kV XLPE/PVC AS/NZS 1429.1
